Type,YEAR,STUD,INT_STUD,INT_SHARE
Hogeschool bachelor,2002,104957,4731,4.507560239
Hogeschool master,2002,4526,206,4.551480336
Universiteit bachelor,2002,35111,1298,3.696847142
Universiteit master,2002,4625,545,11.78378378
Hogeschool bachelor,2003,112104,5000,4.460144152
Hogeschool master,2003,5189,263,5.068413953
Universiteit bachelor,2003,42914,1609,3.749359183
Universiteit master,2003,8017,1140,14.21978296
Hogeschool bachelor,2004,115227,5720,4.964114313
Hogeschool master,2004,5705,335,5.872042068
Universiteit bachelor,2004,46753,2026,4.33341176
Universiteit master,2004,13237,1992,15.04872705
Hogeschool bachelor,2005,117821,6524,5.53721323
Hogeschool master,2005,6325,489,7.731225296
Universiteit bachelor,2005,47920,2399,5.006260434
Universiteit master,2005,21560,3054,14.16512059
Hogeschool bachelor,2006,121712,6877,5.650223478
Hogeschool master,2006,6448,489,7.583746898
Universiteit bachelor,2006,48415,2730,5.638748322
Universiteit master,2006,29938,3634,12.1384194
Hogeschool bachelor,2007,125078,7345,5.872335663
Hogeschool master,2007,5211,472,9.057762426
Universiteit bachelor,2007,50723,3155,6.220057962
Universiteit master,2007,32772,4595,14.02111559
Hogeschool bachelor,2008,127998,8079,6.311817372
Hogeschool master,2008,5620,485,8.629893238
Universiteit bachelor,2008,53284,3802,7.135350199
Universiteit master,2008,34397,5294,15.39087711
Hogeschool bachelor,2009,137546,8670,6.30334579
Hogeschool master,2009,5881,476,8.093861588
Universiteit bachelor,2009,58191,4213,7.239951195
Universiteit master,2009,38807,6327,16.30375963
Hogeschool bachelor,2010,138483,8718,6.295357553
Hogeschool master,2010,5469,529,9.672700677
Universiteit bachelor,2010,58297,4388,7.526973944
Universiteit master,2010,41265,7359,17.83351509
Hogeschool bachelor,2011,136258,8849,6.494297583
Hogeschool master,2011,4760,536,11.2605042
Universiteit bachelor,2011,59197,5204,8.79098603
Universiteit master,2011,40776,8020,19.66843241
Hogeschool bachelor,2012,133916,8517,6.359956988
Hogeschool master,2012,4766,566,11.87578682
Universiteit bachelor,2012,55874,5519,9.877581702
Universiteit master,2012,45452,8695,19.13007128
Hogeschool bachelor,2013,141908,8031,5.659300392
Hogeschool master,2013,4955,642,12.95660949
Universiteit bachelor,2013,59647,5790,9.707110165
Universiteit master,2013,45652,9165,20.07579076
Hogeschool bachelor,2014,136950,7590,5.542168675
Hogeschool master,2014,5098,738,14.4762652
Universiteit bachelor,2014,59190,6253,10.56428451
Universiteit master,2014,46537,9931,21.34000903
Hogeschool bachelor,2015,125639,7899,6.287060546
Hogeschool master,2015,4951,750,15.14845486
Universiteit bachelor,2015,58646,7460,12.72039014
Universiteit master,2015,49529,11679,23.58012478
Hogeschool bachelor,2016,128746,8025,6.233203362
Hogeschool master,2016,4861,852,17.52725777
Universiteit bachelor,2016,62153,9435,15.18028092
Universiteit master,2016,49631,12880,25.95152223
Hogeschool bachelor,2017,133410,8835,6.622442096
Hogeschool master,2017,4892,1144,23.38511856
Universiteit bachelor,2017,67699,11488,16.96923145
Universiteit master,2017,51939,13749,26.47143765
Hogeschool bachelor,2018,135393,8999,6.646577002
Hogeschool master,2018,5642,1351,23.94540943
Universiteit bachelor,2018,72934,14256,19.54643925
Universiteit master,2018,53492,14741,27.55739176
Hogeschool bachelor,2019,137389,9944,7.237842913
Hogeschool master,2019,5837,1472,25.21843413
Universiteit bachelor,2019,75067,15567,20.73747452
Universiteit master,2019,55053,15455,28.07294789
