Country,Country_Code,Year,VoC,PubSpGDP,PrivSpGDP,GDP,Stud_Tot,IntStud_Tot,IntStud_NonEU,IntRatioUNESCO,IntRatioOECD,IntRatioComb,IntRatioNonEU,IntRatioComb_dummy,PubSpGDPLag,PrivSpGDPLag,Corporate_Governance,InterFirm_Relations,Firm_Hierarchy,Employment_Relations,Occupational_Training,CoIndex,PubStu,PriStu,PubStu2,PriStu2
Australië,AUS,2008,LME,0.6902357,0.8455202,851983.13,2517590.9,230635,,,,,,,0.737,0.886,0.08,0.17,0,0.33,0.07,0.13,233.5840871,286.1342351,233.5840871,286.1342351
Australië,AUS,2009,LME,0.7358844,0.8842098,902680.372,2435350,257637,,,,,,,0.781,0.9,0.08,0.17,0,0.33,0.07,0.13,272.76096,327.7388594,272.76096,327.7388594
Australië,AUS,2010,LME,0.7797844,0.8982216,942676.08,2353109.1,271231,,,22.082,22.082,22.082,0,0.745,0.888,0.08,0.17,0,0.33,0.07,0.13,312.3884487,359.8354266,312.3884487,359.8354266
Australië,AUS,2011,LME,0.7440488,0.8866872,992327.38,2270868.2,262597,,,19.829,19.829,19.829,0,0.721,0.883,0.08,0.17,0,0.33,0.07,0.13,325.1355567,387.4658979,325.1355567,387.4658979
Australië,AUS,2012,LME,0.7194145,0.8814196,997527.347,2188627.3,249588,,,18.295,18.295,18.295,0,0.72,0.975,0.08,0.17,0,0.33,0.07,0.13,327.8930303,401.7313296,327.8930303,401.7313296
Australië,AUS,2013,LME,0.7188712,0.9729807,1104626.135,2106386.4,249868,,,17.97,17.97,17.97,0,0.718,1.135,0.08,0.17,0,0.33,0.07,0.13,376.9887212,510.2482194,376.9887212,510.2482194
Australië,AUS,2014,LME,0.7170264,1.132889,1118494.158,2024145.5,266048,,,18.309,18.309,18.309,0,0.769,1.265,0.08,0.17,0,0.33,0.07,0.13,396.2115567,626.0072352,396.2115567,626.0072352
Australië,AUS,2015,LME,0.7682429,1.263057,1126907.643,1903454,294438,,15.46861653,15.469,15.469,15.469,0,,,0.08,0.17,0,0.33,0.07,0.13,454.8251734,747.7714654,454.8251734,747.7714654
Australië,AUS,2016,LME,0.755106,1.15544,1215297.461,1918625,335512,,17.48710665,17.487,17.487,17.487,0,,,0.08,0.17,0,0.33,0.07,0.13,478.300035,731.8800174,478.300035,731.8800174
Australië,AUS,2017,LME,0.7273703,1.283928,1251095.561,1774852,381202,,21.47795985,21.478,21.478,21.478,0,,,0.08,0.17,0,0.33,0.07,0.13,512.7243024,905.0425734,512.7243024,905.0425734
Australië,AUS,2018,LME,0.6545624,1.226749,1326164.114,1677242,444514,,26.50267523,26.503,26.503,26.503,0,,,0.08,0.17,0,0.33,0.07,0.13,517.5503387,969.9676616,517.5503387,969.9676616
Canada,CAN,2008,LME,1.524971,0.9002502,1342396.613,1445149,93479,,6.468467957,,,,,1.522,1.169,0.1,0.19,0,0.22,0.05,0.112,1416.543142,836.2409823,1416.543142,836.2409823
Canada,CAN,2009,LME,1.480583,1.136901,1307953.077,1447618,95590,,6.603261358,,,,,1.49,1.107,0.1,0.19,0,0.22,0.05,0.112,1337.737643,1027.213782,1337.737643,1027.213782
Canada,CAN,2010,LME,1.578337,1.172812,1364079.668,1430169,106284,,7.431569276,,,,,1.354,1.113,0.1,0.19,0,0.22,0.05,0.112,1505.400698,1118.615355,1505.400698,1118.615355
Canada,CAN,2011,LME,1.426457,1.172401,1430807.125,1482243,120960,,8.160605245,,,,,1.295,1.181,0.1,0.19,0,0.22,0.05,0.112,1376.956976,1131.717069,1376.956976,1131.717069
Canada,CAN,2012,LME,1.326726,0.9234227,1468094.965,1505424,135187,,8.979995005,8.035,8.035,8.035,0,1.238,1.262,0.1,0.19,0,0.22,0.05,0.112,1293.828025,900.5251786,1293.828025,900.5251786
Canada,CAN,2013,LME,1.281192,0.9894004,1554122.745,1555449,151244,,9.723494631,9.723,9.723,9.723,0,1.207,1.284,0.1,0.19,0,0.22,0.05,0.112,1280.09959,988.5567869,1280.09959,988.5567869
Canada,CAN,2014,LME,1.238263,1.006665,1621396.709,1577766,164274,,10.41181012,9.508,9.508,9.508,0,1.201,1.239,0.1,0.19,0,0.22,0.05,0.112,1272.505272,1034.502783,1272.505272,1034.502783
Canada,CAN,2015,LME,1.19926,0.920499,1594850.842,1564125,171603,,10.97118197,10.967,10.967,10.967,0,,,0.1,0.19,0,0.22,0.05,0.112,1222.818394,938.5813827,1222.818394,938.5813827
Canada,CAN,2016,LME,1.249911,1.096771,1678093.396,1593383,189478,,11.89155401,11.892,11.892,11.892,0,,,0.1,0.19,0,0.22,0.05,0.112,1316.361098,1155.079584,1316.361098,1155.079584
Canada,CAN,2017,LME,1.248397,1.065671,1765763.154,1625578,209979,,12.91719007,12.917,12.917,12.917,0,,,0.1,0.19,0,0.22,0.05,0.112,1356.055153,1157.571391,1356.055153,1157.571391
Canada,CAN,2018,LME,1.217783,1.108996,1862154.108,1622693,224548.3073,,13.83800308,13.838,13.838,13.838,0,,,0.1,0.19,0,0.22,0.05,0.112,1397.491464,1272.650746,1397.491464,1272.650746
Ierland,IRL,2008,LME,1.105962,0.233771,198655.442,178518,12794,7909,7.166784302,,7.166784302,4.430365565,1,1.264,0.245,0.29,0.06,0.05,0.41,0.04,0.17,1230.718303,260.1411697,1230.718303,260.1411697
Ierland,IRL,2009,LME,1.266234,0.2450147,188520.754,182609,12937,8151,7.084535811,,7.084535811,4.463635418,1,1.167,0.269,0.29,0.06,0.05,0.41,0.04,0.17,1307.226853,252.946766,1307.226853,252.946766
Ierland,IRL,2010,LME,1.166036,0.2691193,197529.445,194009,13489,8533,6.952770232,,6.952770232,4.398249566,1,1.097,0.266,0.29,0.06,0.05,0.41,0.04,0.17,1187.194635,274.0026801,1187.194635,274.0026801
Ierland,IRL,2011,LME,1.103075,0.2676199,205590.143,196321,21018,6380,10.70593569,,10.70593569,3.249779698,1,1.145,0.225,0.29,0.06,0.05,0.41,0.04,0.17,1155.155826,280.255365,1155.155826,280.255365
Ierland,IRL,2012,LME,1.148231,0.2255739,212744.231,192647,11100,6225,5.76183382,,5.76183382,3.231298697,1,0.927,0.265,0.29,0.06,0.05,0.41,0.04,0.17,1268.016222,249.1061158,1268.016222,249.1061158
Ierland,IRL,2013,LME,0.9301711,0.2663633,221412.808,199428,12861,8483,6.44894398,6.449,6.449,4.253665483,0,0.822,0.285,0.29,0.06,0.05,0.41,0.04,0.17,1032.712534,295.7270103,1032.712534,295.7270103
Ierland,IRL,2014,LME,0.8198135,0.2839396,238264.091,203912,14268,10219,6.997136019,6.99,6.99,5.011475538,0,0.603,0.216,0.29,0.06,0.05,0.41,0.04,0.17,957.9236061,331.7735626,957.9236061,331.7735626
Ierland,IRL,2015,LME,0.6781964,0.2972077,324635.968,214632,15815,11124,7.368425957,7.368,7.368,5.182824556,0,,,0.29,0.06,0.05,0.41,0.04,0.17,1025.788069,449.5336641,1025.788069,449.5336641
Ierland,IRL,2016,LME,0.6650653,0.2846197,340945.9,218411,17883,12379,8.187774425,8.188,8.188,5.667754829,0,,,0.29,0.06,0.05,0.41,0.04,0.17,1038.186205,444.2995993,1038.186205,444.2995993
