,MUN,lat,lng,YEAR,INT_STUD,TOT_STUD,REL_STUD
1,Vlissingen,51.45,3.5833,2002,204,952,0.214285714
2,Middelburg,51.4997,3.6136,2002,22,145,0.151724138
3,The Hague,52.0767,4.2986,2002,365,5441,0.067083257
4,Delft,52.0119,4.3594,2002,360,6549,0.054970224
5,Rotterdam,51.9225,4.4792,2002,470,15891,0.02957649
6,Leiden,52.1583,4.4931,2002,96,5415,0.017728532
7,Haarlem,52.3803,4.6406,2002,124,2400,0.051666667
8,Alkmaar      ,52.632,4.751,2002,4,1658,0.002412545
9,Breda,51.5875,4.775,2002,110,5603,0.01963234
10,Amsterdam,52.3667,4.8833,2002,726,16699,0.043475657
11,Diemen,52.3439,4.9625,2002,368,3192,0.115288221
12,Tilburg,51.5572,5.0911,2002,137,5633,0.024320966
13,Utrecht,52.0908,5.1222,2002,299,17388,0.017195767
14,Almere,52.3758,5.2256,2002,16,22,0.727272727
15,Amersfoort,52.155,5.3875,2002,5,303,0.01650165
16,Eindhoven,51.4408,5.4778,2002,205,7405,0.027683997
17,Wageningen,51.97,5.6667,2002,242,1537,0.157449577
18,Ede,52.0436,5.6667,2002,1,872,0.001146789
19,Maastricht,50.8483,5.6889,2002,794,3199,0.248202563
20,Dronten,52.5242,5.7125,2002,52,345,0.150724638
21,Leeuwarden,53.2,5.7833,2002,258,5094,0.050647821
22,Nijmegen,51.8425,5.8528,2002,391,6980,0.056017192
23,Sittard-Geleen,51,5.8667,2002,16,2396,0.006677796
24,Arnhem,51.9833,5.9167,2002,277,4603,0.060178145
25,Heerlen,50.8833,5.9833,2002,136,1673,0.081291094
26,Rheden,52,6.0167,2002,89,688,0.129360465
27,Zwolle,52.5125,6.0944,2002,15,5152,0.002911491
28,Venlo,51.37,6.1681,2002,326,626,0.520766773
29,Meppel,52.6958,6.1944,2002,1,123,0.008130081
30,Deventer,52.25,6.2,2002,108,1941,0.055641422
31,Doetinchem,51.9656,6.2889,2002,2,152,0.013157895
32,Groningen,53.2167,6.5667,2002,264,9781,0.026991105
33,Enschede,52.2183,6.8958,2002,268,4994,0.053664397
34,Emmen,52.7833,6.9,2002,2,375,0.005333333
35,Vlissingen,51.45,3.5833,2003,89,1045,0.085167464
36,Middelburg,51.4997,3.6136,2003,12,178,0.06741573
37,The Hague,52.0767,4.2986,2003,441,5796,0.076086957
38,Bergen op Zoom,51.5,4.3,2003,2,54,0.037037037
39,Delft,52.0119,4.3594,2003,381,5223,0.072946582
40,Rotterdam,51.9225,4.4792,2003,640,18652,0.034312674
41,Leiden,52.1583,4.4931,2003,211,6391,0.033015178
42,Haarlem,52.3803,4.6406,2003,104,2486,0.041834272
43,Gouda,52.0181,4.7056,2003,2,566,0.003533569
44,Alkmaar      ,52.632,4.751,2003,9,1638,0.005494505
45,Breda,51.5875,4.775,2003,140,5651,0.024774376
46,Amsterdam,52.3667,4.8833,2003,984,22988,0.042804942
47,Diemen,52.3439,4.9625,2003,222,2758,0.080493111
48,Tilburg,51.5572,5.0911,2003,164,6564,0.024984765
49,Utrecht,52.0908,5.1222,2003,430,18880,0.022775424
50,Almere,52.3758,5.2256,2003,28,36,0.777777778
51,Amersfoort,52.155,5.3875,2003,1,376,0.002659574
52,Eindhoven,51.4408,5.4778,2003,272,7725,0.035210356
53,Wageningen,51.97,5.6667,2003,348,1791,0.194304858
54,Ede,52.0436,5.6667,2003,1,980,0.001020408
55,Maastricht,50.8483,5.6889,2003,874,3271,0.267196576
56,Dronten,52.5242,5.7125,2003,79,334,0.236526946
57,Leeuwarden,53.2,5.7833,2003,319,5498,0.058021099
58,Nijmegen,51.8425,5.8528,2003,373,8274,0.045080977
59,Sittard-Geleen,51,5.8667,2003,23,2363,0.00973339
60,Arnhem,51.9833,5.9167,2003,208,4833,0.043037451
61,Apeldoorn,52.21,5.97,2003,1,114,0.00877193
62,Heerlen,50.8833,5.9833,2003,162,1641,0.098720293
63,Rheden,52,6.0167,2003,149,733,0.203274216
64,Zwolle,52.5125,6.0944,2003,18,5983,0.003008524
