FOS,STUD,Type
Agriculture,369,University of Applied Science
Economics,13607,University of Applied Science
Education,335,University of Applied Science
Engineering,3250,University of Applied Science
Interdisciplinary,143,University of Applied Science
Language and Culture,7048,University of Applied Science
Medicine,334,University of Applied Science
Agriculture,186,Research University Bachelor
Economics,9675,Research University Bachelor
Engineering,2890,Research University Bachelor
Interdisciplinary,5853,Research University Bachelor
Language and Culture,2312,Research University Bachelor
Law,1989,Research University Bachelor
Medicine,588,Research University Bachelor
Natural Sciences,2470,Research University Bachelor
Social Sciences,3188,Research University Bachelor
Agriculture,3936,Research University Master
Economics,12969,Research University Master
Engineering,9076,Research University Master
Interdisciplinary,400,Research University Master
Language and Culture,5109,Research University Master
Law,4157,Research University Master
Medicine,2329,Research University Master
Natural Sciences,4993,Research University Master
Social Sciences,8285,Research University Master
