FOS,STUD,Type
Landbouw,369,Hogeschool
Economie,13607,Hogeschool
Onderwijs,335,Hogeschool
Techniek,3250,Hogeschool
Sectoroverstijgend,143,Hogeschool
Taal en Cultuur,7048,Hogeschool
Gezondheidszorg,334,Hogeschool
Landbouw,186,Universiteit bachelor
Economie,9675,Universiteit bachelor
Techniek,2890,Universiteit bachelor
Sectoroverstijgend,5853,Universiteit bachelor
Taal en Cultuur,2312,Universiteit bachelor
Recht,1989,Universiteit bachelor
Gezondheidszorg,588,Universiteit bachelor
Natuur,2470,Universiteit bachelor
Gedrag en Maatschappij,3188,Universiteit bachelor
Landbouw,3936,Universiteit master
Economie,12969,Universiteit master
Techniek,9076,Universiteit master
Sectoroverstijgend,400,Universiteit master
Taal en Cultuur,5109,Universiteit master
Recht,4157,Universiteit master
Gezondheidszorg,2329,Universiteit master
Natuur,4993,Universiteit master
Gedrag en Maatschappij,8285,Universiteit master
