,FOS,group,pred_rel,HDIq
1,Landbouw,all,0.102152609,1: Zeer laag
2,Economie,all,0.33371736,1: Zeer laag
3,Onderwijs,all,0.005668688,1: Zeer laag
4,Techniek,all,0.149200792,1: Zeer laag
5,Sectoroverstijgend,all,0.033527262,1: Zeer laag
6,Taal en Cultuur,all,0.063960511,1: Zeer laag
7,Recht,all,0.103093099,1: Zeer laag
8,Gezondheidszorg,all,0.038076662,1: Zeer laag
9,Natuur,all,0.104032986,1: Zeer laag
10,Gedrag en Maatschappij,all,0.06657003,1: Zeer laag
11,Landbouw,all,0.072567963,2: Laag
12,Economie,all,0.398341604,2: Laag
13,Onderwijs,all,0.011555004,2: Laag
14,Techniek,all,0.155611133,2: Laag
15,Sectoroverstijgend,all,0.031393295,2: Laag
16,Taal en Cultuur,all,0.078126406,2: Laag
17,Recht,all,0.053386556,2: Laag
18,Gezondheidszorg,all,0.029146294,2: Laag
19,Natuur,all,0.09568691,2: Laag
20,Gedrag en Maatschappij,all,0.074184836,2: Laag
21,Landbouw,all,0.045390828,3: Midden
22,Economie,all,0.41389092,3: Midden
23,Onderwijs,all,0.006350495,3: Midden
24,Techniek,all,0.164889016,3: Midden
25,Sectoroverstijgend,all,0.035601671,3: Midden
26,Taal en Cultuur,all,0.096323087,3: Midden
27,Recht,all,0.049413636,3: Midden
28,Gezondheidszorg,all,0.015953732,3: Midden
29,Natuur,all,0.10497847,3: Midden
30,Gedrag en Maatschappij,all,0.067208146,3: Midden
31,Landbouw,all,0.020530756,4: Hoog
32,Economie,all,0.384225546,4: Hoog
33,Onderwijs,all,0.004392986,4: Hoog
34,Techniek,all,0.145138501,4: Hoog
35,Sectoroverstijgend,all,0.038166906,4: Hoog
36,Taal en Cultuur,all,0.131649968,4: Hoog
37,Recht,all,0.085823379,4: Hoog
38,Gezondheidszorg,all,0.016627088,4: Hoog
39,Natuur,all,0.094880292,4: Hoog
40,Gedrag en Maatschappij,all,0.078564578,4: Hoog
41,Landbouw,all,0.0234889,5: Zeer hoog
42,Economie,all,0.285995317,5: Zeer hoog
43,Onderwijs,all,0.01395395,5: Zeer hoog
44,Techniek,all,0.093299082,5: Zeer hoog
