"","MUN","lat","lng","YEAR","INT_STUD","TOT_STUD","REL_STUD"
"1","Vlissingen",51.45,3.5833,2002,204,952,0.214285714285714
"2","Middelburg",51.4997,3.6136,2002,22,145,0.151724137931034
"3","The Hague",52.0767,4.2986,2002,365,5441,0.0670832567542731
"4","Delft",52.0119,4.3594,2002,360,6549,0.0549702244617499
"5","Rotterdam",51.9225,4.4792,2002,470,15891,0.0295764898370147
"6","Leiden",52.1583,4.4931,2002,96,5415,0.0177285318559557
"7","Haarlem",52.3803,4.6406,2002,124,2400,0.0516666666666667
"8","Alkmaar",52.632,4.751,2002,4,1658,0.00241254523522316
"9","Breda",51.5875,4.775,2002,110,5603,0.0196323398179547
"10","Amsterdam",52.3667,4.8833,2002,726,16699,0.0434756572249835
"11","Diemen",52.3439,4.9625,2002,368,3192,0.115288220551378
"12","Tilburg",51.5572,5.0911,2002,137,5633,0.0243209657376176
"13","Utrecht",52.0908,5.1222,2002,299,17388,0.0171957671957672
"14","Almere",52.3758,5.2256,2002,16,22,0.727272727272727
"15","Amersfoort",52.155,5.3875,2002,5,303,0.0165016501650165
"16","Eindhoven",51.4408,5.4778,2002,205,7405,0.0276839972991222
"17","Wageningen",51.97,5.6667,2002,242,1537,0.157449577098243
"18","Ede",52.0436,5.6667,2002,1,872,0.00114678899082569
"19","Maastricht",50.8483,5.6889,2002,794,3199,0.248202563301032
"20","Dronten",52.5242,5.7125,2002,52,345,0.150724637681159
"21","Leeuwarden",53.2,5.7833,2002,258,5094,0.0506478209658422
"22","Nijmegen",51.8425,5.8528,2002,391,6980,0.0560171919770774
"23","Sittard-Geleen",51,5.8667,2002,16,2396,0.00667779632721202
"24","Arnhem",51.9833,5.9167,2002,277,4603,0.0601781446882468
"25","Heerlen",50.8833,5.9833,2002,136,1673,0.0812910938433951
"26","Rheden",52,6.0167,2002,89,688,0.129360465116279
"27","Zwolle",52.5125,6.0944,2002,15,5152,0.00291149068322981
"28","Venlo",51.37,6.1681,2002,326,626,0.520766773162939
"29","Meppel",52.6958,6.1944,2002,1,123,0.00813008130081301
"30","Deventer",52.25,6.2,2002,108,1941,0.0556414219474498
"31","Doetinchem",51.9656,6.2889,2002,2,152,0.0131578947368421
"32","Groningen",53.2167,6.5667,2002,264,9781,0.0269911052039669
"33","Enschede",52.2183,6.8958,2002,268,4994,0.0536643972767321
"34","Emmen",52.7833,6.9,2002,2,375,0.00533333333333333
"35","Vlissingen",51.45,3.5833,2003,89,1045,0.0851674641148325
"36","Middelburg",51.4997,3.6136,2003,12,178,0.0674157303370786
"37","The Hague",52.0767,4.2986,2003,441,5796,0.0760869565217391
"38","Bergen op Zoom",51.5,4.3,2003,2,54,0.037037037037037
"39","Delft",52.0119,4.3594,2003,381,5223,0.0729465824238943
"40","Rotterdam",51.9225,4.4792,2003,640,18652,0.0343126742440489
"41","Leiden",52.1583,4.4931,2003,211,6391,0.0330151775934908
"42","Haarlem",52.3803,4.6406,2003,104,2486,0.0418342719227675
"43","Gouda",52.0181,4.7056,2003,2,566,0.00353356890459364
"44","Alkmaar",52.632,4.751,2003,9,1638,0.00549450549450549
"45","Breda",51.5875,4.775,2003,140,5651,0.0247743762165988
"46","Amsterdam",52.3667,4.8833,2003,984,22988,0.0428049417087176
"47","Diemen",52.3439,4.9625,2003,222,2758,0.0804931109499637
"48","Tilburg",51.5572,5.0911,2003,164,6564,0.0249847653869592
"49","Utrecht",52.0908,5.1222,2003,430,18880,0.0227754237288136
"50","Almere",52.3758,5.2256,2003,28,36,0.777777777777778
"51","Amersfoort",52.155,5.3875,2003,1,376,0.00265957446808511
"52","Eindhoven",51.4408,5.4778,2003,272,7725,0.035210355987055
"53","Wageningen",51.97,5.6667,2003,348,1791,0.194304857621441
"54","Ede",52.0436,5.6667,2003,1,980,0.00102040816326531
"55","Maastricht",50.8483,5.6889,2003,874,3271,0.267196575970651
"56","Dronten",52.5242,5.7125,2003,79,334,0.236526946107784
"57","Leeuwarden",53.2,5.7833,2003,319,5498,0.0580210985813023
"58","Nijmegen",51.8425,5.8528,2003,373,8274,0.0450809765530578
"59","Sittard-Geleen",51,5.8667,2003,23,2363,0.00973338975878121
"60","Arnhem",51.9833,5.9167,2003,208,4833,0.0430374508586799
"61","Apeldoorn",52.21,5.97,2003,1,114,0.0087719298245614
"62","Heerlen",50.8833,5.9833,2003,162,1641,0.0987202925045704
"63","Rheden",52,6.0167,2003,149,733,0.203274215552524
"64","Zwolle",52.5125,6.0944,2003,18,5983,0.00300852415176333
"65","Venlo",51.37,6.1681,2003,319,629,0.507154213036566
"66","Meppel",52.6958,6.1944,2003,1,145,0.00689655172413793
"67","Deventer",52.25,6.2,2003,146,2040,0.0715686274509804
"68","Doetinchem",51.9656,6.2889,2003,2,290,0.00689655172413793
"69","Groningen",53.2167,6.5667,2003,429,12400,0.0345967741935484
"70","Enschede",52.2183,6.8958,2003,362,5653,0.0640367946223244
"71","Emmen",52.7833,6.9,2003,46,445,0.103370786516854
"72","Vlissingen",51.45,3.5833,2004,37,1114,0.033213644524237
"73","Middelburg",51.4997,3.6136,2004,1,152,0.00657894736842105
"74","The Hague",52.0767,4.2986,2004,495,6944,0.0712845622119816
"75","Delft",52.0119,4.3594,2004,475,5232,0.0907874617737003
"76","Rotterdam",51.9225,4.4792,2004,722,19159,0.0376846390730205
"77","Leiden",52.1583,4.4931,2004,215,6414,0.0335204240723418
"78","Haarlem",52.3803,4.6406,2004,93,1940,0.0479381443298969
"79","Dordrecht",51.81,4.6736,2004,1,151,0.00662251655629139
"80","Gouda",52.0181,4.7056,2004,2,402,0.00497512437810945
"81","Alkmaar",52.632,4.751,2004,10,1853,0.00539665407447383
"82","Breda",51.5875,4.775,2004,322,5531,0.0582173205568613
"83","Amsterdam",52.3667,4.8833,2004,1184,25974,0.0455840455840456
"84","Diemen",52.3439,4.9625,2004,192,2452,0.0783034257748776
"85","Tilburg",51.5572,5.0911,2004,262,7891,0.0332023824610316
"86","Utrecht",52.0908,5.1222,2004,580,21143,0.0274322470794116
"87","Almere",52.3758,5.2256,2004,29,36,0.805555555555556
"88","Amersfoort",52.155,5.3875,2004,3,414,0.0072463768115942
"89","Eindhoven",51.4408,5.4778,2004,272,8452,0.0321817321344061
"90","Wageningen",51.97,5.6667,2004,494,1862,0.26530612244898
"91","Ede",52.0436,5.6667,2004,5,1276,0.00391849529780564
"92","Maastricht",50.8483,5.6889,2004,1127,4101,0.274811021702024
